C.D.S.  -  SIMBAD4 rel 1.5  -  2016.03.12CET22:41:16

Vmag < 6
--------

Number of objects : 5599

 #  	  coord1 (ICRS,J2000/2000)   	Mag B 	Mag V 
----	-----------------------------	------	------
301 	15 58 58.14664 -65 02 15.3066	 5.671	 5.740
302 	08 58 43.93310 -16 07 57.8137	 6.39 	 5.86 
303 	14 48 44.55115 -66 35 36.8221	 5.775	 5.880
304 	14 28 10.437 -29 29 29.97    	 4.892	 4.972
305 	07 29 48.76140 +27 54 58.0852	 6.135	 5.018
306 	22 17 50.59392 -77 30 41.5992	 5.771	 5.481
307 	14 38 50.22633 +44 24 16.1988	 5.423	 5.395
308 	13 15 31.95290 +40 51 18.7208	 5.960	 5.778
309 	08 40 19.17430 -40 15 49.9432	 5.19 	 5.20 
310 	06 22 57.62686 +22 30 48.8979	 4.51 	 2.87 
311 	17 35 39.58957 -46 30 20.4618	 4.56 	 4.59 
312 	10 43 43.33723 +57 11 57.1344	 5.751	 5.788
313 	11 48 45.08312 -26 44 59.2039	 6.71 	 5.11 
314 	17 52 13.66045 -34 47 57.1105	 5.80 	 5.90 
315 	15 32 36.70181 -19 40 13.6545	 5.70 	 5.52 
316 	10 07 09.49903 -17 08 30.2425	 7.106	 5.594
317 	10 10 05.88526 -12 48 57.3204	 5.629	 5.304
318 	16 07 16.20931 -36 45 20.5086	 6.002	 5.709
319 	21 45 26.92478 +61 07 14.8999	 4.81 	 4.29 
320 	03 45 40.44358 +06 02 59.9751	 5.234	 5.332
321 	23 19 06.66907 -13 27 30.8023	 5.98 	 5.19 
322 	21 28 39.59685 +70 33 38.5747	 3.01 	 3.23 
323 	18 31 26.29701 -18 24 09.7196	 5.141	 5.126
324 	10 52 30.84541 -57 14 25.4574	 5.41 	 5.25 
325 	03 54 17.469 -02 57 14.54    	 5.73 	 4.79 
326 	06 16 07.69169 -16 37 04.8217	 5.75 	 5.91 
327 	18 25 01.42593 -30 45 23.6464	 6.708	 5.587
328 	16 36 22.47192 -35 15 19.1803	 5.776	 4.184
329 	09 52 45.81654 +26 00 25.0319	 5.10 	 3.88 
330 	00 28 26.52183 -39 54 54.0007	 7.008	 5.438
331 	18 11 15.80196 -75 53 29.4408	 7.10 	 5.86 
332 	16 27 11.21 -47 33 18.5      	 7.5  	 4.8  
333 	09 30 46.09678 -31 53 21.1911	 5.80 	 5.74 
334 	22 21 31.07511 +12 12 18.6628	 4.89 	 4.99 
335 	07 09 43.02411 -25 13 51.7293	 5.53 	 5.69 
336 	16 03 12.89783 -49 13 46.9151	 5.560	 4.648
337 	14 50 52.71309 -16 02 30.3955	 2.90 	 2.75 
338 	09 30 22.48382 -15 34 38.4704	 7.068	 5.857
339 	22 51 22.632 +61 41 48.26    	 6.801	 5.931
340 	14 16 09.92995 +51 22 02.0267	 4.95 	 4.75 
341 	00 13 42.24499 -26 01 20.4435	 7.524	 5.963
342 	22 10 33.74601 -04 16 00.6776	 6.952	 5.979
343 	06 53 18.81302 -19 01 57.9458	 5.912	 5.657
344 	01 26 58.09492 -32 32 35.4374	 9.59 	 5.72 
345 	03 25 36.25177 -69 20 11.1697	 6.342	 5.965
346 	19 01 26.37023 +46 56 05.3172	 5.195	 5.013
347 	12 38 25.5100 -60 28 31.126  	 0.000	 0.000
348 	21 50 47.18681 -69 37 45.8967	 6.921	 5.521
349 	09 37 02.58157 +16 26 16.6355	 6.970	 5.738
350 	17 50 28.40 -53 36 44.7      	     ~	 5.69 
351 	07 01 43.14779 -27 56 05.3898	 5.20 	 3.47 
352 	19 34 08.48562 -40 02 04.7028	 6.00 	 5.91 
353 	15 56 53.7 -33 57 50         	 4.68 	 4.58 
354 	11 46 30.82257 -61 10 42.2363	 5.01 	 4.10 
355 	22 05 51.01586 -59 38 09.8647	 7.130	 5.631
356 	20 33 17.64847 -80 57 53.5242	 6.900	 5.777
357 	04 42 46.42350 -50 28 52.8050	 6.268	 5.307
358 	03 24 40.55745 +64 35 09.5771	 7.24 	 5.19 
359 	02 15 46.04981 +25 46 58.5741	 6.202	 5.797
360 	11 06 43.2 -59 49 12         	 4.84 	 4.7  
361 	08 22 30.876 -59 30 34.40    	 3.93 	 3.85 
362 	21 53 55.72620 -37 21 53.4790	 2.89 	 3.01 
363 	18 44 22.78056 +39 36 45.7851	 4.77 	 4.59 
364 	13 43 03.712 +03 32 16.45    	 6.599	 5.423
365 	22 04 47.423 -00 54 22.84    	 5.520	 5.285
366 	12 15 08.71673 -58 44 56.1369	 2.587	 2.775
367 	09 17 25.17081 -74 53 39.5506	 5.31 	 5.29 
368 	15 57 35.25147 +26 52 40.3635	 5.360	 4.130
369 	14 40 43.56 +16 25 05.9      	     ~	 4.9  
370 	07 55 39.89505 +19 53 02.2934	 5.343	 5.378
371 	18 22 53.07588 -36 40 10.3977	 5.20 	 5.34 
372 	07 49 14.29536 -46 22 23.5422	 3.93 	 4.11 
373 	11 27 09.51622 -12 21 24.2934	 6.379	 5.935
374 	17 11 38.68225 -48 52 24.2305	 7.78 	 5.98 
375 	14 08 50.92654 +77 32 51.0466	 6.205	 4.813
376 	12 36 47.35421 -05 49 54.8412	 5.94 	 5.88 
377 	22 09 48.43023 +72 20 28.3410	 5.699	 4.801
378 	13 34 40.45020 -13 12 51.5716	 5.940	 5.922
379 	16 06 06.37611 -23 36 22.7222	 5.84 	 5.92 
380 	00 35 14.88 -03 35 34.1      	 6.3  	 5.7  
381 	16 22 21.42498 +33 47 56.5893	 6.80 	 5.20 
382 	16 46 21.22645 -58 30 12.9391	 5.628	 5.728
383 	05 02 48.68641 -49 09 05.0644	 5.776	 5.387
384 	23 52 29.28762 +19 07 13.0218	 6.68 	 5.08 
385 	07 56 57.80089 -43 30 01.4778	 5.181	 5.340
386 	12 54 39.18258 -59 08 48.1229	 4.462	 4.602
387 	21 56 39.14385 +63 37 32.0174	 6.65 	 4.90 
388 	07 38 49.869 -26 48 13.80    	 4.26 	 4.429
389 	19 29 52.18562 -26 59 08.2127	 6.634	 5.499
390 	12 55 19.43152 -42 54 56.6375	 7.149	 5.476
391 	19 00 43.45486 +55 39 29.8802	 6.357	 5.520
392 	12 10 03.41762 +05 48 25.2308	 6.052	 5.711
393 	02 19 16.79595 +47 22 47.9081	 5.318	 5.314
394 	20 04 19.59387 -32 03 22.6729	 6.20 	 4.99 
395 	01 36 08.499 -29 54 26.44    	 6.31 	 5.97 
396 	04 35 33.03834 -30 33 44.4297	 4.80 	 3.82 
397 	16 59 30.37 -12 53 27.1      	 5.0  	 4.3  
398 	06 15 22.68906 +29 29 53.0760	 5.36 	 4.35 
399 	11 19 07.89965 +38 11 08.0285	 4.90 	 4.80 
400 	22 46 10.22225 +44 32 45.7941	 6.180	 5.840
401 	17 12 32.58090 +62 52 27.6087	 5.744	 5.552
402 	02 54 15.46108 +52 45 44.9240	 4.71 	 3.96 
403 	12 41 31.034 -48 57 35.68    	 2.84 	 2.82 
404 	09 29 08.89655 -02 46 08.2649	 5.06 	 4.60 
405 	03 18 12.81853 -62 30 22.9048	 5.84 	 5.24 
406 	03 05 10.59385 +38 50 24.9943	 5.04 	 3.39 
